Item Name,Category,Description,Price,Veg Classifier,Portion Size,Rating,Addons
Veg Whopper Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Our signature Whopper with 7 layers between the buns. Extra crunchy veg Patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with xxl buns. It?s Not A Burger, it?s a Whopper. Comes with Fries (M) + Medium Soft Drink (Cola)",328.0,VEG,N/A,4.6,King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Chicken Whopper Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Our signature Whopper with 7 layers between the buns. Flame Grilled chicken Patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with xxl buns. It?s Not A Burger, it?s a Whopper. Comes with Fries (M) + Medium Soft Drink (Cola)",358.0,NONVEG,N/A,4.9,King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Hot 'N' Saucy Burger Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Chilli Saucy patty, spicy sauce, soft square masala buns. It's saucy & spicy. Comes with Fries (M) + Medium Soft Drink (Cola)",348.0,VEG,N/A,3.3,King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Fiery Chicken Burger Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Spicy Fried Chicken, loads of sauces in soft square masala buns. It's hot and happening. Comes with Fries (M) + Medium Soft Drink (Cola)",368.0,NONVEG,N/A,4.1,King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Paneer Royale Burger Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Thick Paneer Patty, loads of sauces in soft square masala buns. It's Royally Paneer. Comes with Fries (M) + Medium Soft Drink (Cola)",358.0,VEG,N/A,5.0,King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Chicken Tandoori Burger Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Desiness Alert! Flame grilled Tandoori Chicken, mint sauce with fresh onions. Comes with Fries (M) + Medium Soft Drink (Cola)",348.0,NONVEG,N/A,N/A,King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Mutton Whopper - Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Spicy, Saucy & Desi Masala Whopper for a limited time. Comes with Fries (M) + Medium Soft Drink (Cola)",448.0,NONVEG,N/A,N/A,King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
(4Pc) Crunchy Chicken Nuggets,Sides,Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection,95.0,NONVEG,N/A,4.1,
(6Pc) Crunchy Chicken Nuggets + 1 Dip,Sides,Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection. Served with Fiery Hell Dip,169.0,NONVEG,N/A,4.7,
(9Pc) Crunchy Chicken Nuggets + 2 Dips,Sides,Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection. Served with Fiery Hell Dip,199.0,NONVEG,N/A,4.4,
(18Pcs) Crunchy Chicken Nuggets + 3 Dips,Sides,Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection. Served with Fiery Hell Dip,319.0,NONVEG,N/A,N/A,
Fiery Hell Dip,Sides,Chef's Special Spicy Sauce,23.81,VEG,N/A,3.9,
Hashbrown,Sides,What Every Potato Wants To Be,49.0,VEG,N/A,4.0,
Peri Peri Spice Mix,Sides,,28.57,VEG,N/A,4.3,
Veggie Strips(5 Pcs),Sides,Vegetarian's Favourite Finger Food,59.0,VEG,N/A,4.4,Fiery Hell Dip (23.81); Peri Peri Spice Mix (28.57)
Medium Fries,Sides,The Perfect Crispy Partner,115.0,VEG,N/A,4.3,
King Fries,Sides,The Perfect Crispy Partner,130.0,VEG,N/A,4.1,Fiery Hell Dip (23.81); Peri Peri Spice Mix (28.57)
Medium Peri Peri Fries,Sides,Crispy Fries With Peri Peri Spice. Hot Indeed,144.0,VEG,N/A,4.3,Fiery Hell Dip (23.81)
King Peri Peri Fries,Sides,Crispy Fries With Peri Peri Spice. Hot Indeed,159.0,VEG,N/A,3.9,Fiery Hell Dip (23.81)
Peri Peri Fries,Sides,Crispy fries with peri peri spice. Hot indeed.,144.0,VEG,N/A,N/A,Fiery Hell Dip (23.81)
Medium Soft Drink (Cola),Beverages,,95.0,VEG,N/A,4.2,
Chocolate Thick Shake,Beverages,Our Signature Chocolate Thick Shake,189.0,VEG,N/A,4.3,
Mango Thick Shake,Beverages,Our Signature Mango Thick Shake,189.0,VEG,N/A,4.5,
Berry Blast Thick Shake,Beverages,Rich Creamy Black Currant Thick shake,189.0,VEG,N/A,4.0,
Medium Soft Drink (Diet Cola),Beverages,,95.0,VEG,N/A,4.6,
Choco Lava Cup,Desserts,Melty Chocolate filled in cupcake,109.0,VEG,N/A,4.7,
Chocolate Mousse Cup,Desserts,Airy and creamy chocolate mousse topped with chocolate ganache and choco chips,109.0,VEG,N/A,4.0,
Chicken Wings Fried - Two Pieces,Chicken Wings.,Juicy chicken wings cooked to perfection.,79.0,NONVEG,N/A,3.8,
Chicken Wings Fried - Four Pieces,Chicken Wings.,Juicy chicken wings cooked to perfection.,149.0,NONVEG,N/A,3.2,
Chicken Wings Fried - Ten Pieces,Chicken Wings.,Juicy chicken wings cooked to perfection.,349.0,NONVEG,N/A,N/A,
Chicken Wings Fried - Fifteen Pieces,Chicken Wings.,Juicy chicken wings cooked to perfection.,529.0,NONVEG,N/A,N/A,
Boneless Wings Regular,Chicken Wings.,4pcs Boneless Chicken Bites,159.0,NONVEG,N/A,4.6,Fiery Hell Dip (23.81)
Boneless Wings Large,Chicken Wings.,7pcs Boneless Chicken Bites,269.0,NONVEG,N/A,4.1,Fiery Hell Dip (23.81)
